568	Arcane Burst
580	Large Timber Wolf
744	Poison
747	Summon Images
785	True Fulfillment
812	Periodic Mana Burn
1212	Haste II
1219	Polymorph
1906	Debilitating Charge
2329	Alchemy: Elixir of Lion's Strength
2584	Waiting to Resurrect
2657	Mining: Smelt Copper
3105	Curse of Stalvan
3130	Ice Claw
3147	Rend Flesh
3148	Head Crack
3150	Rabies
3171	Alchemy: Elixir of Wisdom
3188	Alchemy: Elixir of Ogre's Strength
3256	Plague Cloud
3274	First Aid
3304	Mining: Smelt Tin
3307	Mining: Smelt Iron
3308	Mining: Smelt Gold
3356	Flame Lash
3366	Opening
3373	Cooking: Crocolisk Gumbo
3377	Cooking: Gooey Spider Cake
3396	Corrosive Poison
3397	Cooking: Big Bear Steak
3409	Crippling Poison
3427	Infected Wound
3429	Plague Mind
3436	Wandering Plague
3439	Wandering Plague
3583	Deadly Poison
3584	Volatile Infection
3589	Deafening Screech
3596	Smelt Steel
3603	Distracting Pain
3604	Tendon Rip
3635	Crystal Gaze
3684	Judgement
3815	Poison Cloud
4036	Engineering
4962	Encasing Webs
4974	Wither Touch
5106	Crystal Flash
5137	Call of the Grave
5159	Melt Ore
5164	Knockdown
5208	Poisoned Harpoon
5257	Thunderbrew
5337	Wither Strike
5416	Venom Sting
5672	Healing Stream
5884	Banshee Curse
6016	Pierce Armor
6253	Backhand
6268	Rushing Charge
6278	Creeping Mold
6306	Acid Splash
6371	Healing Stream
6408	Faded
6419	Cooking: Lean Venison
6500	Cooking: Goblin Deviled Clams
6524	Ground Tremor
6530	Sling Dirt
6533	Net
6607	Lash
6608	Dropped Weapon
6653	Dire Wolf
6685	Piercing Shot
6713	Disarm
6726	Silence
6751	Weak Poison
6816	Corrupted Strength
6817	Corrupted Agility
6818	Corrupted Intellect
6819	Corrupted Stamina
6873	Foul Chill
6942	Overwhelming Stench
6950	Faerie Fire
6951	Decayed Strength
6982	Gust of Wind
7054	Forsaken Skills
7057	Haunting Spirits
7068	Veil of Shadow
7074	Screams of the Past
7098	Curse of Mending
7102	Contagion of Rot
7120	Proudmoore's Defense
7125	Toxic Saliva
7127	Wavering Will
7139	Fel Stomp
7140	Expose Weakness
7289	Shrink
7295	Soul Drain
7321	Chilled
7353	Cozy Fire
7357	Poisonous Stab
7365	Bottle of Poison
7411	Enchanting
7413	Enchanting
7418	Enchanting: Enchant Bracer - Minor Health
7428	Enchanting: Enchant Bracer - Minor Deflect
7454	Enchanting: Enchant Cloak - Minor Resistance
7457	Enchanting: Enchant Bracer - Minor Stamina
7713	Wailing Dead
7731	Fishing
7745	Enchanting: Enchant 2H Weapon - Minor Impact
7766	Enchanting: Enchant Bracer - Minor Spirit
7779	Enchanting: Enchant Bracer - Minor Agility
7782	Enchanting: Enchant Bracer - Minor Strength
7786	Enchanting: Enchant Weapon - Minor Beastslayer
7793	Enchanting: Enchant 2H Weapon - Lesser Intellect
7836	Alchemy: Blackmouth Oil
7837	Alchemy: Fire Oil
7859	Enchanting: Enchant Bracer - Lesser Spirit
7964	Smoke Bomb
7992	Slowing Poison
8014	Tetanus
8016	Spirit Decay
8078	Thunderclap
8139	Fevered Fatigue
8140	Befuddlement
8147	Thunderclap
8191	Zeal
8245	Corrosive Acid
8267	Cursed Blood
8269	Enrage
8272	Mind Tremor
8281	Sonic Burst
8282	Curse of Blood
8348	Julie's Blessing
8379	Disarm
8391	Ravage
8395	Emerald Raptor
8398	Frostbolt Volley
8690	Hearthstone
8715	Terrifying Howl
8733	Blessing of Blackfathom
8806	Poisoned Shot
8892	Goblin Rocket Boots
8988	Silence
8994	Banish
9080	Hamstring
9256	Deep Sleep
9275	Immolate
9459	Corrosive Ooze
9573	Flame Breath
9612	Ink Spray
9672	Frostbolt
9775	Irradiated
9791	Head Crack
9826	Pounce Bleed
10460	Healing Stream
10461	Healing Stream
10477	Frost Resistance
10491	Mana Spring
10493	Mana Spring
10494	Mana Spring
10534	Fire Resistance
10535	Fire Resistance
10598	Nature Resistance
10599	Nature Resistance
10653	Curse of the Eye
10656	Dragonscale Leatherworking
10658	Elemental Leatherworking
10660	Tribal Leatherworking
10662	Leatherworking
10796	Turquoise Raptor
10799	Violet Raptor
10846	First Aid
10852	Battle Net
10861	Raptor Riding
10906	Undead Horsemanship
10968	Demoralizing Roar
11020	Petrify
11201	Crippling Poison
11350	Fire Shield
11398	Mind-numbing Poison III
11428	Knockdown
11436	Slow
11443	Cripple
